"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","rep_id","scenario"
"idopNetwork",0.702651515151515,0.340627248690136,0.5,0.136363636363636,0.363636363636364,0.583333333333333,0.75,31.33,"ok",1,"LV"
"WGCNA",0.425133689839572,0.214800168763047,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.490000000000002,"ok",1,"LV"
"GENIE3",0.663101604278075,0.367295820576827,0.363636363636364,0.205882352941176,0.157754010695187,0.636363636363636,NA,0.159999999999997,"ok",1,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",1,"VAR1"
"WGCNA",0.536096256684492,0.277823366357783,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.490000000000002,"ok",1,"VAR1"
"GENIE3",0.589572192513369,0.278950422926096,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.0899999999999963,"ok",1,"VAR1"
"idopNetwork",0.810606060606061,0.44797791087973,0.5,0.136363636363636,0.363636363636364,0.833333333333333,0.636363636363636,50.17,"ok",2,"LV"
"WGCNA",0.481283422459893,0.358863591112986,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.339999999999989,"ok",2,"LV"
"GENIE3",0.651737967914438,0.304418115989291,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.160000000000011,"ok",2,"LV"
"idopNetwork",NA,NA,NA,0,NA,NA,NA,12.81,"ok",2,"VAR1"
"WGCNA",0.574866310160428,0.293852681347538,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.349999999999994,"ok",2,"VAR1"
"GENIE3",0.489304812834225,0.217865547814914,0.181818181818182,0.264705882352941,-0.0828877005347594,0.636363636363636,NA,0.109999999999999,"ok",2,"VAR1"
"idopNetwork",0.685561497326203,0.399527089169531,0.470588235294118,0.163636363636364,0.306951871657754,0.470588235294118,0.272727272727273,98.05,"ok",3,"LV"
"WGCNA",0.438502673796791,0.215838617530553,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.360000000000014,"ok",3,"LV"
"GENIE3",0.653743315508021,0.416452046020289,0.409090909090909,0.191176470588235,0.217914438502674,0.681818181818182,NA,0.139999999999986,"ok",3,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",3,"VAR1"
"WGCNA",0.479946524064171,0.21761512491968,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.319999999999993,"ok",3,"VAR1"
"GENIE3",0.478609625668449,0.218415087526352,0.136363636363636,0.279411764705882,-0.143048128342246,0.5,NA,0.110000000000014,"ok",3,"VAR1"
"idopNetwork",0.740530303030303,0.372202558568644,0.333333333333333,0.181818181818182,0.151515151515152,0.75,0.5,43.25,"ok",4,"LV"
"WGCNA",0.489304812834225,0.337455571558036,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.349999999999994,"ok",4,"LV"
"GENIE3",0.656417112299465,0.360659948380568,0.409090909090909,0.191176470588235,0.217914438502674,0.590909090909091,NA,0.120000000000005,"ok",4,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: power_equation_fit 后物种数不足",4,"VAR1"
"WGCNA",0.550802139037433,0.293002685798432,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.339999999999975,"ok",4,"VAR1"
"GENIE3",0.485294117647059,0.218417754727014,0.136363636363636,0.279411764705882,-0.143048128342246,0.590909090909091,NA,0.110000000000014,"ok",4,"VAR1"
"idopNetwork",0.648674242424242,0.283234287946888,0.333333333333333,0.181818181818182,0.151515151515152,0.666666666666667,0.666666666666667,89.25,"ok",5,"LV"
"WGCNA",0.433155080213904,0.292861879736401,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.340000000000032,"ok",5,"LV"
"GENIE3",0.636363636363636,0.372816153015495,0.272727272727273,0.235294117647059,0.0374331550802139,0.545454545454545,NA,0.139999999999986,"ok",5,"LV"
"idopNetwork",0.456,0.316055508453276,0.2,0.16,0.04,0.2,1,37.39,"ok",5,"VAR1"
"WGCNA",0.553475935828877,0.294036291214291,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.340000000000032,"ok",5,"VAR1"
"GENIE3",0.520053475935829,0.246588752176836,0.272727272727273,0.235294117647059,0.0374331550802139,0.5,NA,0.0999999999999659,"ok",5,"VAR1"
"idopNetwork",0.721590909090909,0.366373019457318,0.5,0.136363636363636,0.363636363636364,0.666666666666667,0.333333333333333,64.56,"ok",6,"LV"
"WGCNA",0.481283422459893,0.272911440525338,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.329999999999984,"ok",6,"LV"
"GENIE3",0.699866310160428,0.358161082188837,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.139999999999986,"ok",6,"LV"
"idopNetwork",0.1,0.0945348918918356,0,0.2,-0.2,0,NA,28.86,"ok",6,"VAR1"
"WGCNA",0.542780748663102,0.245667511928588,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.329999999999984,"ok",6,"VAR1"
"GENIE3",0.524064171122995,0.249826686834116,0.363636363636364,0.205882352941176,0.157754010695187,0.454545454545455,NA,0.110000000000014,"ok",6,"VAR1"
"idopNetwork",0.794507575757576,0.471857692877094,0.416666666666667,0.159090909090909,0.257575757575758,0.833333333333333,0.545454545454545,52.4,"ok",7,"LV"
"WGCNA",0.477272727272727,0.299005882293567,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.360000000000014,"ok",7,"LV"
"GENIE3",0.711898395721925,0.366507667526907,0.409090909090909,0.191176470588235,0.217914438502674,0.772727272727273,NA,0.139999999999986,"ok",7,"LV"
"idopNetwork",NA,NA,NA,0,NA,NA,NA,38.13,"ok",7,"VAR1"
"WGCNA",0.544117647058823,0.263660859270467,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.360000000000014,"ok",7,"VAR1"
"GENIE3",0.392379679144385,0.197334117690683,0.136363636363636,0.279411764705882,-0.143048128342246,0.454545454545455,NA,0.110000000000014,"ok",7,"VAR1"
"idopNetwork",0.59469696969697,0.369008489373214,0.333333333333333,0.181818181818182,0.151515151515152,0.5,0.5,28.97,"ok",8,"LV"
"WGCNA",0.489304812834225,0.311383090480591,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.360000000000014,"ok",8,"LV"
"GENIE3",0.709224598930481,0.353017127199864,0.363636363636364,0.205882352941176,0.157754010695187,0.545454545454545,NA,0.139999999999986,"ok",8,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",8,"VAR1"
"WGCNA",0.5975935828877,0.331362146314478,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.329999999999927,"ok",8,"VAR1"
"GENIE3",0.46524064171123,0.212929023852145,0.181818181818182,0.264705882352941,-0.0828877005347594,0.545454545454545,NA,0.0900000000000318,"ok",8,"VAR1"
"idopNetwork",0.679924242424242,0.289983505513384,0.333333333333333,0.181818181818182,0.151515151515152,0.833333333333333,0.2,56.6800000000001,"ok",9,"LV"
"WGCNA",0.524064171122995,0.374942519371226,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.3599999999999,"ok",9,"LV"
"GENIE3",0.760695187165775,0.423678646168823,0.454545454545455,0.176470588235294,0.27807486631016,0.636363636363636,NA,0.1400000000001,"ok",9,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",9,"VAR1"
"WGCNA",0.552139037433155,0.314249558059112,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.329999999999927,"ok",9,"VAR1"
"GENIE3",0.456550802139037,0.218723700480939,0.181818181818182,0.264705882352941,-0.0828877005347594,0.590909090909091,NA,0.110000000000014,"ok",9,"VAR1"
"idopNetwork",0.62405303030303,0.283352744118218,0.416666666666667,0.159090909090909,0.257575757575758,0.5,0.571428571428571,59.4200000000001,"ok",10,"LV"
"WGCNA",0.529411764705882,0.284125553832229,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.379999999999995,"ok",10,"LV"
"GENIE3",0.65975935828877,0.319377571075507,0.318181818181818,0.220588235294118,0.0975935828877005,0.636363636363636,NA,0.139999999999986,"ok",10,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",10,"VAR1"
"WGCNA",0.538770053475936,0.266992436637985,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.329999999999927,"ok",10,"VAR1"
"GENIE3",0.521390374331551,0.284662412427869,0.409090909090909,0.191176470588235,0.217914438502674,0.454545454545455,NA,0.110000000000014,"ok",10,"VAR1"
"idopNetwork",0.702651515151515,0.503614781092252,0.5,0.136363636363636,0.363636363636364,0.5,0.5,70.8000000000001,"ok",11,"LV"
"WGCNA",0.479946524064171,0.332244381094567,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.370000000000005,"ok",11,"LV"
"GENIE3",0.66644385026738,0.322228769406936,0.318181818181818,0.220588235294118,0.0975935828877005,0.590909090909091,NA,0.159999999999968,"ok",11,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",11,"VAR1"
"WGCNA",0.594919786096257,0.327205746965865,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.340000000000032,"ok",11,"VAR1"
"GENIE3",0.505347593582888,0.264600648330794,0.318181818181818,0.220588235294118,0.0975935828877005,0.545454545454545,NA,0.0999999999999091,"ok",11,"VAR1"
"idopNetwork",0.779356060606061,0.472016864880288,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.454545454545455,78.33,"ok",12,"LV"
