"method","metric","mean","sd","n"
"idopNetwork","AUROC",0.734,0.063,30
"WGCNA","AUROC",0.477,0.038,30
"GENIE3","AUROC",0.633,0.053,30
"idopNetwork","AUPRC",0.397,0.075,30
"WGCNA","AUPRC",0.279,0.041,30
"GENIE3","AUPRC",0.332,0.056,30
"idopNetwork","TPR",0.424,0.103,30
"WGCNA","TPR",0.282,0.055,30
"GENIE3","TPR",0.33,0.07,30
"idopNetwork","FPR",0.158,0.028,30
"WGCNA","FPR",0.232,0.018,30
"GENIE3","FPR",0.217,0.022,30
"idopNetwork","MCC",0.266,0.131,30
"WGCNA","MCC",0.049,0.073,30
"GENIE3","MCC",0.114,0.092,30
"idopNetwork","dir_acc",0.718,0.094,30
"WGCNA","dir_acc",NA,NA,0
"GENIE3","dir_acc",0.533,0.094,30
"idopNetwork","sign_acc",0.466,0.159,30
"WGCNA","sign_acc",NA,NA,0
"GENIE3","sign_acc",NA,NA,0
"idopNetwork","runtime",62.895,16.943,30
"WGCNA","runtime",0.367,0.046,30
"GENIE3","runtime",0.154,0.01,30
