"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"idopNetwork",0.631016042780749,0.384903854424268,0.470588235294118,0.163636363636364,0.306951871657754,0.529411764705882,0.4,87.18,"ok",0.01,30,1,"noise"
"WGCNA",0.602941176470588,0.278283723278657,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.700000000000003,"ok",0.01,30,1,"noise"
"GENIE3",0.560828877005348,0.257226824483765,0.318181818181818,0.220588235294118,0.0975935828877005,0.363636363636364,NA,0.200000000000003,"ok",0.01,30,1,"noise"
"idopNetwork",0.748106060606061,0.546281282729402,0.5,0.136363636363636,0.363636363636364,0.666666666666667,0.777777777777778,41.89,"ok",0.01,30,2,"noise"
"WGCNA",0.426470588235294,0.211754175203541,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.650000000000006,"ok",0.01,30,2,"noise"
"GENIE3",0.499331550802139,0.225455530280359,0.181818181818182,0.264705882352941,-0.0828877005347594,0.545454545454545,NA,0.170000000000016,"ok",0.01,30,2,"noise"
"idopNetwork",0.668560606060606,0.345355760985095,0.25,0.204545454545455,0.0454545454545455,0.75,0.5,35.89,"ok",0.01,30,3,"noise"
"WGCNA",0.600267379679144,0.328427931692265,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.549999999999983,"ok",0.01,30,3,"noise"
"GENIE3",0.600267379679144,0.297756295774581,0.363636363636364,0.205882352941176,0.157754010695187,0.5,NA,0.190000000000026,"ok",0.01,30,3,"noise"
"idopNetwork",0.602139037433155,0.445776271157883,0.411764705882353,0.181818181818182,0.229946524064171,0.470588235294118,0.666666666666667,67.49,"ok",0.01,30,4,"noise"
"WGCNA",0.433155080213904,0.23530378930054,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.449999999999989,"ok",0.01,30,4,"noise"
"GENIE3",0.547459893048128,0.290968488351888,0.227272727272727,0.25,-0.0227272727272727,0.5,NA,0.199999999999989,"ok",0.01,30,4,"noise"
"idopNetwork",0.554924242424242,0.30848275004102,0.25,0.204545454545455,0.0454545454545455,0.416666666666667,0,32.39,"ok",0.01,30,5,"noise"
"WGCNA",0.371657754010695,0.190251241463917,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.479999999999961,"ok",0.01,30,5,"noise"
